,run_id,reduced_pattern,void_fraction,correlation,void_fraction_corr,error,abs_error
197,75,dispersed,0.8554647346000002,premoli,0.3892814061914897,-0.46618332840851046,0.46618332840851046
198,76,dispersed,0.862082867025,premoli,0.4718883132938856,-0.39019455373111445,0.39019455373111445
199,77,dispersed,0.8674570132125001,premoli,0.5206793513480777,-0.3467776618644224,0.3467776618644224
200,80,dispersed,0.5250437198875001,premoli,0.5021811023073498,-0.02286261758015029,0.02286261758015029
201,81,dispersed,0.44030437416249996,premoli,0.4279534713982359,-0.012350902764264038,0.012350902764264038
202,82,dispersed,0.685024053225,premoli,0.3847158452684368,-0.30030820795656327,0.30030820795656327
203,87,slug,0.3964389298625,premoli,0.42800483641614273,0.03156590655364272,0.03156590655364272
204,122,plug,0.10453755502500003,premoli,0.20284217015483438,0.09830461512983435,0.09830461512983435
205,123,plug,0.09556034412500002,premoli,0.23819314242239434,0.14263279829739434,0.14263279829739434
206,126,plug,0.3044123876,premoli,0.33853413208398225,0.03412174448398225,0.03412174448398225
207,128,plug,0.2419776522,premoli,0.37223535077803344,0.13025769857803343,0.13025769857803343
208,130,plug,0.14492428008750002,premoli,0.29628453900295715,0.15136025891545712,0.15136025891545712
209,131,plug,0.2924473523875,premoli,0.36589427582088124,0.07344692343338122,0.07344692343338122
210,132,plug,0.3841860272375,premoli,0.4264896845596873,0.04230365732218727,0.04230365732218727
211,148,wavy,0.9004917591479973,premoli,0.7973721430026597,-0.1031196161453376,0.1031196161453376
212,13,slug,0.556030410125,kanizawa,0.4253433872100736,-0.1306870229149264,0.1306870229149264
213,14,slug,0.5304052548,kanizawa,0.5719428867070874,0.04153763190708737,0.04153763190708737
214,15,slug,0.5215324891,kanizawa,0.6237033986508671,0.10217090955086705,0.10217090955086705
215,23,slug,0.547126287475,kanizawa,0.6044026616602395,0.057276374185239454,0.057276374185239454
216,25,slug,0.49836908301250005,kanizawa,0.5222308801078104,0.023861797095310333,0.023861797095310333
217,28,plug,0.24102238166249998,kanizawa,0.27401594600309775,0.032993564340597775,0.032993564340597775
218,29,plug,0.21646753070000005,kanizawa,0.2624806239070626,0.046013093207062566,0.046013093207062566
219,31,plug,0.367303725425,kanizawa,0.32218462701278017,-0.04511909841221984,0.04511909841221984
220,32,plug,0.41731363495000007,kanizawa,0.3420978093357534,-0.07521582561424667,0.07521582561424667
221,33,plug,0.48740399995000006,kanizawa,0.39258653770823265,-0.0948174622417674,0.0948174622417674
222,34,plug,0.45857368557500006,kanizawa,0.4753617761623486,0.016788090587348536,0.016788090587348536
223,35,plug,0.455089220575,kanizawa,0.6234248488617231,0.1683356282867231,0.1683356282867231
224,36,plug,0.547265918925,kanizawa,0.5480823486249473,0.0008164296999473297,0.0008164296999473297
225,40,wavy,0.8663639310461123,kanizawa,0.8444830115818202,-0.02188091946429216,0.02188091946429216
226,41,wavy,0.855995121358206,kanizawa,0.7771379172167853,-0.07885720414142072,0.07885720414142072
227,44,wavy,0.8694261936029785,kanizawa,0.7477012593026323,-0.12172493430034614,0.12172493430034614
228,45,wavy,0.8750650247738968,kanizawa,0.7760747619205624,-0.09899026285333445,0.09899026285333445
229,46,wavy,0.8684843965509627,kanizawa,0.8005889978441953,-0.06789539870676731,0.06789539870676731
230,47,wavy,0.8811205891501942,kanizawa,0.8261891109758239,-0.054931478174370274,0.054931478174370274
231,50,bubbly,0.05136833295000001,kanizawa,0.1393242177992846,0.0879558848492846,0.0879558848492846
232,53,bubbly,0.2215386873375,kanizawa,0.2579862447146291,0.0364475573771291,0.0364475573771291
233,54,dispersed,0.35900094071249994,kanizawa,0.32686114068502387,-0.03213980002747607,0.03213980002747607
234,55,dispersed,0.33286831282499996,kanizawa,0.31093659604960894,-0.02193171677539102,0.02193171677539102
235,56,slug,0.427489732525,kanizawa,0.35057006313683586,-0.07691966938816414,0.07691966938816414
236,57,slug,0.39035104435,kanizawa,0.3322712294749523,-0.05807981487504771,0.05807981487504771
237,58,slug,0.2870094606,kanizawa,0.27683606314820675,-0.010173397451793242,0.010173397451793242
238,59,bubbly,0.18679983186250002,kanizawa,0.22195395260908934,0.03515412074658933,0.03515412074658933
239,60,bubbly,0.13385888827500003,kanizawa,0.18963077456318994,0.05577188628818991,0.05577188628818991
240,61,bubbly,0.08804499772500003,kanizawa,0.15052952000509012,0.06248452228009009,0.06248452228009009
241,62,bubbly,0.07169507240000003,kanizawa,0.1600209241962113,0.08832585179621127,0.08832585179621127
242,63,bubbly,0.008331895762500036,kanizawa,0.1789520168234834,0.17062012106098337,0.17062012106098337
243,64,bubbly,0.03021774857500004,kanizawa,0.22108586504912298,0.19086811647412294,0.19086811647412294
244,65,bubbly,0.06568017152500003,kanizawa,0.25505857125484255,0.18937839972984252,0.18937839972984252
245,66,plug,0.17284123943750004,kanizawa,0.30995969981377824,0.1371184603762782,0.1371184603762782
246,67,slug,0.4347662752125001,kanizawa,0.3880727875436886,-0.046693487668811484,0.046693487668811484
247,68,plug,0.20671683447500006,kanizawa,0.21889187682173472,0.012175042346734666,0.012175042346734666
248,69,plug,0.2958856214125,kanizawa,0.26825849500865945,-0.027627126403840574,0.027627126403840574
249,74,dispersed,0.8570035427125,kanizawa,0.41597100177496177,-0.44103254093753824,0.44103254093753824
250,75,dispersed,0.8554647346000002,kanizawa,0.4563292858031291,-0.3991354487968711,0.3991354487968711
251,76,dispersed,0.862082867025,kanizawa,0.537811178988419,-0.324271688036581,0.324271688036581
252,77,dispersed,0.8674570132125001,kanizawa,0.5847744132956,-0.28268259991690015,0.28268259991690015
253,80,dispersed,0.5250437198875001,kanizawa,0.5510276729709286,0.02598395308342849,0.02598395308342849
254,81,dispersed,0.44030437416249996,kanizawa,0.47575259093047384,0.035448216767973884,0.035448216767973884
255,82,dispersed,0.685024053225,kanizawa,0.4328465779539382,-0.2521774752710618,0.2521774752710618
256,87,slug,0.3964389298625,kanizawa,0.46910983737724593,0.07267090751474592,0.07267090751474592
257,122,plug,0.10453755502500003,kanizawa,0.22608518366842426,0.12154762864342422,0.12154762864342422
258,123,plug,0.09556034412500002,kanizawa,0.2549088368936477,0.15934849276864765,0.15934849276864765
259,126,plug,0.3044123876,kanizawa,0.3578205310005671,0.0534081434005671,0.0534081434005671
260,128,plug,0.2419776522,kanizawa,0.38996188321513076,0.14798423101513075,0.14798423101513075
261,130,plug,0.14492428008750002,kanizawa,0.3181569835688984,0.17323270348139835,0.17323270348139835
262,131,plug,0.2924473523875,kanizawa,0.3754028799460049,0.08295552755850488,0.08295552755850488
263,132,plug,0.3841860272375,kanizawa,0.440428234162153,0.05624220692465298,0.05624220692465298
264,148,wavy,0.9004917591479973,kanizawa,0.8526935565584418,-0.04779820258955547,0.04779820258955547
265,13,slug,0.556030410125,tibirica,0.5346288478538325,-0.021401562271167518,0.021401562271167518
266,14,slug,0.5304052548,tibirica,0.6865590344910064,0.1561537796910064,0.1561537796910064
267,15,slug,0.5215324891,tibirica,0.7362776094832143,0.21474512038321425,0.21474512038321425
268,23,slug,0.547126287475,tibirica,0.71879855460601,0.17167226713101003,0.17167226713101003
